,game1,game2,home_x,away_x,away_win
234,1310,2302,19.0,2.0,1.0
235,1313,2547,17.0,6.0,1.0
236,1314,2221,-3.0,-10.0,0.0
237,1316,3335,1.0,-12.0,0.0
238,1318,2233,3.0,-2.0,0.0
239,1319,1977,-14.0,-4.0,0.0
240,1320,2837,-5.0,-22.0,0.0
241,1321,2465,18.0,-5.0,0.0
242,1325,1982,15.0,27.0,1.0
243,1326,2444,15.0,-4.0,0.0
244,1328,2283,-11.0,-16.0,0.0
245,1329,2673,5.0,2.0,1.0
246,1330,2470,-13.0,-29.0,0.0
247,1331,2471,-6.0,-4.0,0.0
248,1335,2532,-2.0,-2.0,0.0
249,1336,2452,5.0,-10.0,0.0
250,1337,2479,4.0,-9.0,0.0
251,1338,3005,-3.0,-24.0,0.0
252,1340,1925,-9.0,5.0,1.0
253,1341,3291,11.0,8.0,1.0
254,1345,2250,26.0,-5.0,0.0
255,1346,3280,6.0,2.0,1.0
256,1348,2086,-2.0,-24.0,0.0
257,1353,2524,9.0,5.0,1.0
258,1354,1973,11.0,-4.0,0.0
259,1357,2676,8.0,-6.0,0.0
260,1358,2499,-2.0,2.0,1.0
261,1359,2628,15.0,-20.0,0.0
262,1361,2820,12.0,3.0,1.0
263,1364,2611,17.0,3.0,1.0
264,1366,2020,-5.0,4.0,1.0
265,1367,2730,-6.0,-12.0,0.0
266,1368,2713,9.0,-11.0,0.0
267,1371,2638,-12.0,-15.0,0.0
268,1372,3045,-6.0,1.0,1.0
269,1374,2639,-3.0,4.0,1.0
270,1376,2484,-6.0,-10.0,0.0
271,1377,2625,1.0,-5.0,0.0
272,1379,2380,-17.0,-4.0,0.0
273,1380,2531,3.0,-22.0,0.0
274,1381,2381,-4.0,-25.0,0.0
275,1382,2802,1.0,6.0,1.0
276,1383,2518,-9.0,-4.0,0.0
277,1384,2705,11.0,-14.0,0.0
278,1385,2661,5.0,2.0,1.0
279,1388,2720,32.0,-4.0,0.0
280,1393,2601,12.0,-15.0,0.0
281,1394,2712,-12.0,-1.0,0.0
282,1399,2597,-2.0,-18.0,0.0
283,1400,2598,-15.0,-16.0,0.0
284,1401,1905,8.0,1.0,1.0
285,1402,2318,-10.0,-6.0,0.0
286,1403,2438,-7.0,-24.0,0.0
287,1404,2728,11.0,-1.0,0.0
288,1405,3181,6.0,1.0,1.0
289,1407,2823,4.0,3.0,1.0
290,1408,2616,-4.0,-12.0,0.0
291,1410,2542,-16.0,-27.0,0.0
292,1411,2543,7.0,2.0,1.0
293,1412,2535,5.0,-10.0,0.0
294,1413,2649,6.0,-12.0,0.0
295,1414,2280,15.0,-13.0,0.0
296,1415,2633,27.0,19.0,1.0
297,1416,2155,3.0,-2.0,0.0
298,1418,2644,4.0,-9.0,0.0
299,1420,2665,-9.0,1.0,1.0
300,1421,2515,-3.0,-12.0,0.0
301,1423,3499,13.0,5.0,1.0
302,1425,2630,3.0,-32.0,0.0
303,1427,2844,26.0,16.0,1.0
304,1428,3251,9.0,-14.0,0.0
305,1429,2552,7.0,-12.0,0.0
306,1431,2417,9.0,-2.0,0.0
307,1432,2035,-5.0,5.0,1.0
308,1433,3034,3.0,-1.0,0.0
309,1434,3190,4.0,-15.0,0.0
310,1435,3252,26.0,2.0,1.0
311,1436,1672,12.0,5.0,1.0
312,1437,2576,27.0,-8.0,0.0
313,1439,2571,11.0,25.0,1.0
314,1440,2984,-3.0,-12.0,0.0
315,1441,2418,11.0,11.0,1.0
316,1443,3142,-14.0,-23.0,0.0
317,1444,2808,9.0,-18.0,0.0
318,1445,2572,-16.0,11.0,1.0
319,1446,2702,-2.0,-15.0,0.0
320,1448,3269,-3.0,-10.0,0.0
321,1450,3238,-10.0,7.0,1.0
322,1452,2835,-19.0,-25.0,0.0
323,1453,2651,-10.0,-16.0,0.0
324,1454,2652,-5.0,-20.0,0.0
325,1455,3234,24.0,22.0,1.0
326,1456,2811,-13.0,-2.0,0.0
327,1457,2592,30.0,30.0,1.0
328,1458,2792,2.0,-3.0,0.0
329,1459,2595,-20.0,-10.0,0.0
330,1460,2596,20.0,7.0,1.0
331,1461,2534,-7.0,-1.0,0.0
332,1462,2599,-15.0,-3.0,0.0
333,1463,3043,6.0,9.0,1.0
334,1464,2798,9.0,-17.0,0.0
335,1465,2997,2.0,-16.0,0.0
336,1466,2161,15.0,-6.0,0.0
337,1467,2757,3.0,18.0,1.0
338,1468,2537,17.0,5.0,1.0
