,game1,game2
596,1781,3204
597,1782,2834
598,1783,3210
599,1784,2926
600,1785,3068
601,1787,2929
602,1788,2550
603,1789,3486
604,1790,2938
605,1791,2839
606,1792,2796
607,1793,3072
608,1794,2842
609,1795,2951
610,1796,2939
611,1797,3024
612,1799,2841
613,1800,2827
614,1801,2559
615,1802,2976
616,1803,2843
617,1804,3276
618,1805,2655
619,1806,2846
620,1807,2847
621,1808,2562
622,1810,2850
623,1811,2955
624,1812,3081
625,1813,3249
626,1814,3396
627,1815,2699
628,1816,2957
629,1817,3316
630,1818,3433
631,1819,2566
632,1820,3085
633,1821,2419
634,1823,2567
635,1824,2568
636,1825,3052
637,1826,3254
638,1827,3087
639,1829,3100
640,1830,2002
641,1831,2682
642,1832,2838
643,1833,2685
644,1835,2859
645,1836,3244
646,1837,2854
647,1840,2476
648,1841,3038
649,1842,2987
650,1843,2845
651,1844,2994
652,1845,3039
653,1846,2013
654,1847,2948
655,1848,3272
656,1849,2880
657,1850,2606
658,1854,2285
659,1855,3086
660,1856,3306
661,1857,3002
662,1858,3003
663,1860,2749
664,1861,2149
665,1862,2894
666,1865,3295
667,1866,1966
668,1867,2989
669,1868,3029
670,1870,3017
671,1871,3019
672,1873,3303
673,1875,2766
674,1876,2931
675,1877,2377
676,1879,3307
677,1883,3026
678,1884,3007
679,1885,2183
680,1886,3236
681,1887,2640
682,1889,3386
683,1890,2365
684,1892,3089
685,1893,2701
686,1333,1894
687,1895,3036
688,1897,2990
689,1898,3104
690,1899,3011
691,1902,3041
692,1903,3314
693,1906,3056
694,1907,2768
695,1912,3139
696,1914,3158
697,1915,2073
698,1916,3281
699,1917,3094
700,1918,2494
701,1920,3177
702,1921,3195
703,1922,3106
704,1923,3192
705,1924,3274
706,1926,3231
707,1928,2806
708,1929,3071
709,1930,3169
710,1931,3202
711,1932,3367
712,1933,3207
713,1934,3253
714,1935,3074
715,1936,2783
716,1938,3722
717,1939,3078
718,1940,2805
719,1944,3241
720,1945,3246
721,1946,2411
722,1948,2615
723,1950,3255
724,1951,3058
725,1952,3263
726,1955,3270
727,1956,2881
728,1958,3164
729,1959,3370
730,1960,3409
731,1961,2723
732,1965,2930
733,1967,3243
734,1968,3131
735,1969,3167
736,1970,3110
737,1971,3379
738,1972,3228
739,1974,2923
740,1975,2924
741,1976,3237
742,1978,3119
743,1979,3120
744,1980,3282
745,1983,3222
746,1984,3153
747,1985,3163
748,1986,3162
749,1987,3235
750,1988,3239
751,1989,2964
752,1990,3009
753,1991,3109
754,1992,2810
755,1993,2516
756,1994,2966
757,1995,2903
758,1996,3406
759,1997,2276
760,1998,3090
761,1999,3140
762,2001,3141
763,2003,3452
764,2005,2692
765,2006,2825
766,2007,2995
767,2008,2821
768,2009,3349
769,2010,2350
770,2011,3217
771,2012,3216
772,2014,2614
773,2015,3160
774,2017,3125
775,2018,3126
776,2021,3338
777,2022,3098
778,2023,3292
779,2024,2886
780,2025,3371
781,2027,3170
782,2028,3536
783,2029,3220
784,2030,2486
785,2032,3214
786,2036,3010
787,2037,2497
788,2038,3348
789,2039,3233
790,2040,3343
791,2041,3182
792,2043,3337
793,2044,3191
794,2045,3346
795,2046,3108
796,2047,3159
797,2048,3193
798,2049,3157
799,2050,3196
800,2051,3448
801,2052,3275
802,2053,3095
803,2054,3199
804,2056,3064
805,2057,3200
806,2058,3230
807,2060,3116
808,2063,3206
809,2064,3351
810,2066,3209
811,2067,2509
812,2068,2453
813,2070,2368
814,2071,3118
815,2072,2369
816,2074,3166
817,2075,3364
818,2077,3150
819,2078,2707
820,2079,3219
821,2080,2653
822,2081,2678
823,2082,3023
824,2083,3242
825,2084,3213
826,2085,3152
827,2087,3146
828,2088,3111
829,2089,3121
830,2090,3124
831,2091,3232
832,2094,3030
833,2095,3515
834,2096,3359
835,2097,2343
836,2098,3132
837,2099,3519
838,2100,2863
839,2101,2729
840,2102,3248
841,2103,2334
842,2104,2753
843,2105,3712
844,2106,2402
845,2107,3187
846,2108,3128
847,2109,3334
848,2110,3360
849,2111,3362
850,2112,3256
851,2113,2744
852,2115,2814
853,2117,3500
854,2118,3033
855,2119,2290
856,2120,3097
857,2121,3535
858,2122,3260
859,2124,3261
860,2126,3368
861,2127,2421
862,2128,3184
863,2129,3267
864,2130,3151
865,2131,2405
866,2134,2756
867,2135,3376
868,2136,3734
869,2137,3112
870,2140,3383
871,2141,3361
872,2143,2714
873,2144,3284
874,2145,3040
875,2147,2819
876,2153,3101
877,2154,3294
878,2156,3301
879,2157,2915
880,2158,3474
881,2159,3302
882,2162,2795
883,2163,3283
884,2164,2736
885,2165,3308
886,2166,2326
887,2171,3398
888,2172,2671
889,2173,3313
890,2175,3136
891,2176,2383
892,2177,3421
893,2178,2747
894,2179,2500
895,2182,3037
896,2185,3305
897,2186,2734
898,2188,3311
899,2189,3286
900,2190,2495
901,2194,3227
902,2195,3357
903,2196,3079
904,2197,3522
905,2199,3511
906,2201,3441
907,2202,3411
908,2204,3446
909,2207,2645
910,2208,3225
911,2209,3521
912,2212,3323
913,2213,3135
914,2214,3459
915,2216,3344
916,2217,3468
917,2218,3122
918,2219,3065
919,2220,3340
920,2222,3556
921,2223,3297
922,2224,3354
923,2225,3073
924,2226,3339
925,2229,3470
926,2230,2563
927,2232,2748
928,2234,3550
929,2235,2522
930,2237,3525
